Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition
12:00 AM,79  F,73  F,83 %,CALM,0 mph,0 mph,29.9 in,0.0 in,0.0 in,Fog
12:30 AM,77  F,73  F,89 %,CALM,0 mph,0 mph,29.9 in,0.0 in,0.0 in,Fog
1:00 AM,77  F,73  F,89 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Fog
1:30 AM,77  F,73  F,89 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
2:00 AM,77  F,73  F,89 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
2:30 AM,77  F,73  F,89 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
3:00 AM,75  F,73  F,94 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Fair
3:30 AM,75  F,73  F,94 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Fair
4:00 AM,75  F,73  F,94 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Fair
4:30 AM,75  F,73  F,94 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Fair
5:00 AM,75  F,73  F,94 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Fair
5:30 AM,75  F,73  F,94 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
6:00 AM,75  F,73  F,94 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
6:30 AM,75  F,73  F,94 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
7:00 AM,77  F,73  F,89 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
7:30 AM,79  F,73  F,83 %,NW,3 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
8:00 AM,81  F,75  F,84 %,N,7 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
8:30 AM,84  F,75  F,74 %,NNE,9 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
9:00 AM,84  F,75  F,74 %,NE,12 mph,0 mph,29.9 in,0.0 in,0.0 in,Haze
9:30 AM,86  F,75  F,70 %,NE,9 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
10:00 AM,86  F,73  F,66 %,ENE,12 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
10:30 AM,88  F,73  F,62 %,ENE,12 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
11:00 AM,88  F,72  F,58 %,ENE,12 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
11:30 AM,88  F,72  F,58 %,ENE,14 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
12:00 PM,90  F,73  F,59 %,ENE,12 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
12:30 PM,90  F,72  F,55 %,ENE,12 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
1:00 PM,88  F,72  F,58 %,ENE,14 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
1:30 PM,90  F,73  F,59 %,ENE,12 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
2:00 PM,88  F,73  F,62 %,E,10 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
2:30 PM,88  F,73  F,62 %,E,10 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
